Code,Headings,Description
V00.00,Pedestrian,"Pedestrian injured in collision with pedestrian conveyance, nontraffic accident, unspecified pedestrian conveyance"
V00.01,Pedestrian,"Pedestrian injured in collision with pedestrian conveyance, nontraffic accident, on foot"
V00.02,Pedestrian,"Pedestrian injured in collision with pedestrian conveyance, nontraffic accident, skateboard"
V00.03,Pedestrian,"Pedestrian injured in collision with pedestrian conveyance, nontraffic accident, roller-skates"
V00.04,Pedestrian,"Pedestrian injured in collision with pedestrian conveyance, nontraffic accident, scooter, powered"
V00.05,Pedestrian,"Pedestrian injured in collision with pedestrian conveyance, nontraffic accident, scooter, nonpowered"
V00.06,Pedestrian,"Pedestrian injured in collision with pedestrian conveyance, nontraffic accident, wheelchair, powered"
V00.07,Pedestrian,"Pedestrian injured in collision with pedestrian conveyance, nontraffic accident, wheelchair, nonpowered"
V00.08,Pedestrian,"Pedestrian injured in collision with pedestrian conveyance, nontraffic accident, baby carriage"
V00.09,Pedestrian,"Pedestrian injured in collision with pedestrian conveyance, nontraffic accident, other specified pedestrian conveyance"
V00.10,Pedestrian,"Pedestrian injured in collision with pedestrian conveyance, traffic accident, unspecified pedestrian conveyance"
V00.11,Pedestrian,"Pedestrian injured in collision with pedestrian conveyance, traffic accident, on foot"
V00.12,Pedestrian,"Pedestrian injured in collision with pedestrian conveyance, traffic accident, skateboard"
V00.13,Pedestrian,"Pedestrian injured in collision with pedestrian conveyance, traffic accident, roller-skates"
V00.14,Pedestrian,"Pedestrian injured in collision with pedestrian conveyance, traffic accident, scooter, powered"
V00.15,Pedestrian,"Pedestrian injured in collision with pedestrian conveyance, traffic accident, scooter, nonpowered"
V00.16,Pedestrian,"Pedestrian injured in collision with pedestrian conveyance, traffic accident, wheelchair, powered"
V00.17,Pedestrian,"Pedestrian injured in collision with pedestrian conveyance, traffic accident, wheelchair, nonpowered"
V00.18,Pedestrian,"Pedestrian injured in collision with pedestrian conveyance, traffic accident, baby carriage"
V00.19,Pedestrian,"Pedestrian injured in collision with pedestrian conveyance, traffic accident, other specified pedestrian conveyance"
V00.90,Pedestrian,"Pedestrian injured in collision with pedestrian conveyance, unspecified whether traffic or nontraffic accident, unspecified pedestrian conveyance"
V00.91,Pedestrian,"Pedestrian injured in collision with pedestrian conveyance, unspecified whether traffic or nontraffic accident, on foot"
V00.92,Pedestrian,"Pedestrian injured in collision with pedestrian conveyance, unspecified whether traffic or nontraffic accident, skateboard"
V00.93,Pedestrian,"Pedestrian injured in collision with pedestrian conveyance, unspecified whether traffic or nontraffic accident, roller-skates"
V00.94,Pedestrian,"Pedestrian injured in collision with pedestrian conveyance, unspecified whether traffic or nontraffic accident, scooter, powered"
V00.95,Pedestrian,"Pedestrian injured in collision with pedestrian conveyance, unspecified whether traffic or nontraffic accident, scooter, nonpowered"
V00.96,Pedestrian,"Pedestrian injured in collision with pedestrian conveyance, unspecified whether traffic or nontraffic accident, wheelchair, powered"
V00.97,Pedestrian,"Pedestrian injured in collision with pedestrian conveyance, unspecified whether traffic or nontraffic accident, wheelchair, nonpowered"
V00.98,Pedestrian,"Pedestrian injured in collision with pedestrian conveyance, unspecified whether traffic or nontraffic accident, baby carriage"
V00.99,Pedestrian,"Pedestrian injured in collision with pedestrian conveyance, unspecified whether traffic or nontraffic accident, other specified pedestrian conveyance"
V01.0,Pedestrian,"Pedestrian injured in collision with pedal cycle, nontraffic accident"
V01.1,Pedestrian,"Pedestrian injured in collision with pedal cycle, traffic accident"
V01.9,Pedestrian,"Pedestrian injured in collision with pedal cycle, unspecified whether traffic or nontraffic accident"
V02.0,Pedestrian,"Pedestrian injured in collision with two- or three-wheeled motor vehicle, nontraffic accident"
V02.1,Pedestrian,"Pedestrian injured in collision with two- or three-wheeled motor vehicle, traffic accident"
V02.9,Pedestrian,"Pedestrian injured in collision with two- or three-wheeled motor vehicle, unspecified whether traffic or nontraffic accident"
V03.0,Pedestrian,"Pedestrian injured in collision with car, pick-up truck or van, nontraffic accident"
